anchor,positive
I really don't know him.,I don't really know him.
How many kilos have you lost?,How many kilograms have you lost?
I gave my cold to him.,I didn't pay attention to him.
I'm not satisfied yet.,I'm still not satisfied.
Only Tom would have known that.,Only Tom would've known that.
Come home by 6:30.,Be home by half past six.
We just want him back.,We just want her back.
When did he come back from Osaka?,When did he return from Osaka?
I found out the truth.,I discovered the truth.
You will be delayed for only thirty minutes at worst.,"At the most, you'll only be 30 minutes late."
I don't see him doing that.,I don't see her doing that.
That's the stupidest thing I've ever said.,I've never said such a stupid thing.
Tom poured me some tea.,Tom poured some tea for me.
Tom said he snored.,Tom said that he snored.
Dinosaurs are now extinct.,"Today, the dinosaurs disappeared."
I have spent a lot of money on my house.,I've already invested a lot of money into my home.
Tom was hoping Mary wouldn't win.,Tom hoped that Mary wouldn't win.
Do you think Tom is ever going to do that?,Do you think Tom would do that?
She promised me.,He promised me.
Ken is good at swimming.,Ken is a good swimmer.
I should've told Tom no.,I should have told Tom no.
I stopped by her house.,I stopped by his house.
This could've been devastating.,This could have been devastating.
"My father makes it a rule to get up at six, even in winter.","My dad usually got up at six, even in the winter."
What is Tony doing?,What does Tony do?
Can you show us how to do that?,Could you show me how this works?
Look at the sunny side of things.,Look on the bright side of things.
I don't know where that street leads.,I do not know where to drive in the street.
We probably should've left earlier.,We probably should have left earlier.
I lost track of time.,I've lost notion of time.
The stock has gone down over night.,The stock collapsed overnight.
Tom shoved the door open.,Tom pushed the gate open.
"Thanks, bud!","Thanks, buddy!"
Tom bought some toys for his children.,Tom bought his children some toys.
Do not venture outside your homes.,Do not venture to come out of your homes.
Could you please get me a taxi?,Can you call a taxi for me?
You need a lawyer.,You demanded a lawyer.
I know that I need to do that.,I know that I should do that.
"I need an envelope, a piece of paper, and a pencil or a pen.",I need an envelope and a piece of paper. I also need either a pencil or a pen.
Tom said he wasn't convinced.,Tom said that he was unconvinced.
We're not serious.,We aren't serious.
Tom can't make up his mind.,Tom can't decide.
Who do you live with?,Do you live with someone?
Sami didn't like that.,Sami did not like that.
The police will suspect him of the murder.,The police will suspect that he is the murderer.
Tom is a male name.,Tom is a boy's name.
They said that they were thirty.,They said they were thirty.
He was mad at me because I broke up with him.,He was angry with me because I did not want to know more about him.
Read through the article.,Read the article.
He is punctual in keeping appointments.,He's always on time for his appointments.
The police have arrested someone.,The police did arrest someone.
"You must give up smoking, as it is unhealthy.",You should give up smoking since it's unhealthy.
Have there been any phone calls for me?,Did anyone call me?
He did the work for himself.,She did the work alone.
They said that they'd be there.,They said they'd be there.
One of his colleagues whispered.,One of the professors whispered.
I think Tom might be in Boston.,"Tom could be in Boston, I suppose."
"Don't worry, you are doing well.","Don't worry, you're doing well."
Tom told Mary he was hungry.,Tom told Mary that he wanted to eat.
How far is it to the airport?,How far away is the airport?
He gets along badly with his boss.,He is not well-liked by his boss.
"It is tossed by the waves, but does not sink.","She swims, but does not sink."
