anchor,positive,negative
france is beautiful . red white blue flag . . . blue is my favorite color .,my favorite color is blue .,i do not like blue .
my schooling is close to being completed .,"although i am studying to be a doctor , animals like me .",i just graduated college with my bachelors degree in education .
i live in vermont .,i reside in the maple syrup state .,i live in a medium sized city .
o yes ! my fav band is insane clown posse though .,my favorite band is insane clown posse .,i m in love with adam levine .
"hi , i work long hours as a tech at a hospital . you ?",i do not like working long hours .,i am employed by the government .
i cruise in a rebuilt sports car .,i ride in a sporty vehicle .,i do not own a car .
"i am alright , i love my ohio farm .",i live on a small farm in ohio .,i live in the capital of washington .
barbie girl is the greatest music of all time .,my favorite song is barbie girl .,my favorite music genre is rock .
well i have a job in a factory so no .,i work in a factory .,i am in the us military .
i do not own a tv i only stream .,i never watch tv .,i watch a lot of funny tv .
"yeah i do , but i would much rather be reading suspense novels .",my favorite hobby is reading suspense novels .,"i enjoy john gresham movies , but not his books ."
"me too , i also love rock . my dogs like techno .",in my home we have several canines .,i hate dogs .
i am female .,i have children and i am a woman .,i am a boy .
just working on some new software i developing for google .,i work at google .,i currently work at target .
"i do scream therapy with my art , it is so hard to connect with people .",i have a hard time feeling connected with people .,i like to eat people .
reading book on accountant trends in the u . s .,i am an accountant .,i am a special ed teacher .
"hello president . i am on break , i work in a coffee shop .",i work at a coffee shop .,i am in a local theater company .
even though i am a neat freak i love my cat .,i am a neat freak .,i have ink stains on all my shirts .
i am a lawyer . do you exercise ?,i am a lawyer .,i am a classily trained chef .
what are you up to ? i am watching the walking dead . i love that show .,i like watching the walking dead .,i never watch tv .
we have maybe 2 winery nearby but boston is mainly beer friendly .,i reside on the outskirts of a city know as beantown .,i lived in illinois for four years .
"well i drive a truck down here , but my passion is singing in the church choir .",i sing in the church choir .,i can t sing very well .
we go out to movies and restaurants . i got to have my beef . yum o !,i like to eat beef .,i do not like well done beef .
its brown but i want to dye it purple .,my favorite color is purple .,my favorite color is yellow .
hello there ! i just got back from walking my dog and it is fairly warm here .,that mutt means the world to me .,i am not a dog person .
i eat terrible too lol . i love hamburgers .,my favorite food is hamburgers .,pizza is my favorite food .
a coffee shop . i like the smell .,i love to get stuff from starbucks .,i am a lumberjack .
i am in a mess . i started dating my boss .,i am dating my boss .,i am married and have three kids .
good ! ready to hit the sack . i am a teacher for 6th grade so i get up early !,i m a sixth grade teacher .,i work as an interior designer .
"nothing more than an aggressive fish when swimming or paddleboarding , lol .",i enjoy swimming .,i am afraid of drowning .
getting ready for work . no sundays off for me . i am an er nurse .,i am a nurse .,i am a well educated businessman .
"i did go to a justin timberlake concert , he is my favorite singer .",my favorite singer is justin timberlake .,my favorite music artist is isaiah rashad .
"not bad . i live in vienna , austria .","i live in vienna , austria now .",i live in the united states .
i understand . sometimes when i am writing i never get it right .,i enjoy writing .,i never learned how to write .
my name is susan and my dream is to become a famous actress .,i dream of becoming a famous actress .,i am studying to be a gynecologist .
do you ride on the bus ?,i refuse to ride the bus .,i only take the bus .
i sell paper products . its a great job . i just prefer my cooking to restaurants .,i am a great cook .,i am an entrepreneur .
