anchor,positive
thank you . they are my entire world . second is my company lol .,i own my company .
that a good ideal since i have no money to go the movie .,i worry about money even though i am in high school .
"if the masters are right . fortunately i am fat and short , well insulated .",i am short .
i have . been busy learning robotics to take my mind off food .,i love robotics .
when i was three my mom went crazy i have not seen her since .,my mom went crazy when i was three and i haven t seen her since .
i have two cats too . i like cats more then dogs .,i like felines more than beagles .
"i am not exclusively dating anyone , but i go out all the time .",i am not dating anyone .
i took her to the prom . it is in my wallet daily .,i still have a photo from my senior prom in my wallet .
cats are nice . maybe i will get one with all the free time i have .,sometimes i just need time to myself .
"good , relaxin . just preying for my trip to canada . i go every fall to visit my sister .",every fall i visit my sister in canada .
i wanted to go back to study to becoming managers .,i want to learn how to manage a place in vegas .
i cant believe i work in real estate .,i work at a real estate office .
i drive a dark colored suv .,i have gone 208 mph for for than 10 minutes .
i have blonde hair and a large mustache .,i have a large mustache .
"nothing too exciting . just spending time in my home , that i own .",i own my home .
i like watching tv mostly not really into music .,i like watching tv in my free time as well .
i love cakes that are a mystery flavor .,i enjoy mystery flavour cake .
kind of . i am an art teacher .,my mother is a teacher .
"oh no i would help ya out with that . i got my son an 2 dogs , boxers .",i have multiple puppies .
awesome . that is the only thing i will never do . i do like the outdoors though .,i enjoy the outdoors .
fun ! i try to eat very healthy when i can !,i eat well .
"lasagna or fajitas . my mother teaches cooking , so she taught me .",i cook well .
"wow , i enjoy hiking too mostly on glaciers though .",i enjoy hiking on glaciers .
no children i have a boyfriend who serves in the army .,my boyfriend is in the army .
i have a fish he is pretty boring .,i have a beta fish .
hello my name is michael i love the color blue .,my favorite color is blue .
it would and maybe i could see a mermaid also !,i believe that mermaids are real .
i like farms and horses . i now live in the city .,i recently moved to a city .
"i had to chase my dog when he chased a cat , while walking in the park today .",i love walking in the park .
i am sorry . . i think tall people look beautiful . i married one .,i have been married eight years .
you can stop spending so much time golfing and more time working .,i spend a lot of time outside .
cool sounds better than cutting down trees .,i love to cut down trees .
me either . i would love to visit the gulf of mexico and maybe go swimming .,i like to go swimming .
girls call my phone all day long .,i like girls .
oh i prefer board games of ver philosophy .,i like to play board games .
"i love to eat bagels with my coffee , i like to put everything on them .",i like bagels with everything on them .
three girls ? i have three thumbs !,i have 3 thumbs .
"working is the pits , i like writing numbers , i could do it all day .",i do not like working .
i play guitar in my spare time .,i play the violin .
i am a very supportive husband .,i stopped traveling after marrying my love .
i am japanese but my parents immigrated to canada when i was born .,"i live in toronto , canada ."
only if you do i am desperate love me please ! ! ! ! !,i never stop looking for love .
my cat is larger than my dog .,my dog is smaller than my cat .
i have two children .,i have 3 children .
i enjoy traveling in spare time .,i love to travel .
they are mean . although i prefer classical music on my harp .,my favorite music genre is classical .
well i work in digital art so i know a lot of tricks .,i am a digital artist .
i like to travel to other countries .,i like to travel to europe .
"yes ! 3 of my 4 siblings work there , so i know a lot of people .",i have four siblings .
i do ! i listen to the radio because i do not have a television .,i do not own a television .
"that is great . i have a silver lexus with red interior , it looks pretty cool .",i drive a silver lexus .
i enjoy watching clips with family and friends all the time .,i like being with the people i know best .
it reminds me of the dark which makes me afraid of it .,i am afraid of the dark .
do you have any pets i bring my pug everywhere with me !,i spoil my pet .
i also like strange music so the soundtrack sounds my style .,i listen to a lot of strange music .
on sundays i like to make breakfast . i too like cooking .,i like to cook breakfast on sundays .
you can do anything you can . that is how i am getting through school .,i want to be an entrepreneur when i get out of school .
"hey ! not really , i am craving some pizza !",i love pizza .
i am a boy .,i am one of two boys in my family .
about a year old . his beard matches mine haha .,i have beard that is longer .
i am also quite attracted to canadian women .,i think canadian women are incredibly attractive .
i like science and want to be an orthodontist ever since i got my braces .,i possess orthodontics .
for some reason running helps me relax . i just had a good 3 mile run .,running is my way to relax .
yea i like running . i prefer riding my motorcycle though lol .,i drive a motorcycle instead of a car .
"in reality , the muggers is my favorite band . but in my dream , it was the muppets !",my favorite band is the muggers .
yes and i would rather be in a warm place swimming with manta rays .,one of my favorite memories is swimming with some ocean creatures .
yes i am . my boots are from there too .,i like to wear boots .
"that is cool . no , i moved out . my dad was a mechanic . . . you like music ?",my father used to be a mechanic .
"my father is really strict which makes me wish i could move out . europe , nice .",my dad is very strict with his kids .
